Age,Financial Status,Has a Laptop,Type of Internet Connection,CC100,CC101,CC102,CS111/IT112,English Prof,Reading Compre,Science Process,Quantitative,Abstract,CET OAPR,SHS/HS GPA,ABM/BAM,GAS,HUMSS,STEM,Sports Track,TVL-HE,TVL-ICT,Female,Male,Prefer not to say,label
23,1,2,2,2.0,2.25,2.0,1.75,83.47,90.94,51.68,70.61,79.78,82.81,90.0,0,1,0,0,0,0,0,0,1,0,1
21,2,2,2,1.25,1.5,2.0,1.5,94.11,96.76,93.41,95.71,91.68,96.9,94.5,0,0,0,1,0,0,0,1,0,0,1
22,2,0,2,1.25,2.25,1.5,1.75,52.9,71.99,44.12,53.82,63.1,60.09,88.35,0,1,0,0,0,0,0,1,0,0,1
21,1,0,1,2.25,1.75,1.75,1.5,84.91,71.99,85.06,18.16,79.78,80.63,93.25,0,1,0,0,0,0,0,0,1,0,1
21,0,0,0,1.5,1.5,3.0,2.25,89.71,96.76,91.97,94.54,53.29,93.53,87.5,0,0,0,0,0,0,1,0,1,0,1
23,2,1,2,1.5,2.0,1.75,1.5,44.05,90.94,72.66,79.96,72.9,71.42,89.0,0,1,0,0,0,0,0,1,0,0,1
22,3,2,0,1.0,2.25,3.0,2.0,76.83,71.99,44.12,24.91,83.75,71.42,87.0,1,0,0,0,0,0,0,0,1,0,1
22,1,0,2,1.75,2.5,3.0,1.75,76.83,77.12,72.66,70.61,72.9,76.98,89.5,0,0,0,0,0,0,1,0,1,0,1
22,1,2,2,1.25,2.25,2.25,2.0,80.58,77.12,80.93,14.31,43.49,73.34,94.0,0,0,0,0,0,0,1,1,0,0,1
22,1,0,2,1.0,2.0,1.25,1.25,55.84,35.7,94.84,63.45,63.1,68.07,91.0,0,0,0,1,0,0,0,1,0,0,1
21,1,2,1,2.75,1.5,2.25,1.5,82.02,71.99,85.06,70.61,63.1,82.12,91.5,0,0,0,0,0,0,1,1,0,0,1
22,1,0,0,1.25,2.5,1.75,2.25,76.83,35.7,44.12,70.61,63.1,66.95,91.5,0,0,0,0,0,0,1,0,1,0,1
22,1,1,1,2.5,2.0,3.0,2.0,80.58,77.12,66.81,44.18,79.78,77.9,90.0,0,1,0,0,0,0,0,1,0,0,1
21,0,2,2,1.75,2.5,2.0,2.0,61.05,42.05,51.68,75.28,83.75,65.83,85.5,0,0,0,1,0,0,0,0,1,0,1
24,1,0,1,1.5,2.0,1.75,2.0,72.78,25.06,80.93,70.61,20.6,63.6,91.0,0,0,0,0,0,0,1,1,0,0,1
21,0,2,2,1.25,2.5,2.0,1.25,70.75,90.94,89.19,18.16,33.69,73.34,82.0,0,0,0,0,0,0,1,0,1,0,1
22,0,2,2,2.0,1.5,1.75,1.25,96.08,54.75,93.41,44.18,79.78,90.13,92.785,0,1,0,0,0,0,0,1,0,0,1
21,2,2,1,1.75,1.75,1.5,1.5,63.53,71.99,72.66,70.61,63.1,71.42,92.0,0,1,0,0,0,0,0,0,1,0,1
21,1,0,2,2.75,1.25,3.0,1.5,88.66,94.82,72.66,44.18,79.78,86.95,91.0,0,0,0,1,0,0,0,0,1,0,1
21,1,1,2,2.25,2.25,2.25,1.75,68.5,30.03,72.66,44.18,53.29,61.37,88.5,0,0,1,0,0,0,0,1,0,0,1
21,1,0,0,2.75,1.5,3.0,1.5,72.78,66.85,93.41,70.61,79.78,81.43,88.5,0,0,0,0,0,0,1,0,1,0,1
21,0,2,2,2.5,1.75,3.0,1.5,91.83,90.94,66.81,84.63,79.78,90.13,91.5,0,0,0,0,0,0,1,0,1,0,1
22,1,2,2,1.75,1.0,1.0,1.75,97.39,94.82,89.19,93.38,97.87,97.46,92.5,0,0,0,0,0,0,1,0,1,0,1
21,2,2,2,2.0,2.75,2.0,2.0,66.01,77.12,44.12,53.82,26.06,62.48,85.515,0,0,1,0,0,0,0,1,0,0,1
21,1,2,2,2.0,2.5,3.0,2.0,52.9,54.75,59.25,75.28,53.29,61.37,86.0,0,0,0,0,0,0,1,0,1,0,1
21,1,0,1,2.5,2.25,2.0,2.0,52.9,42.05,59.25,70.61,83.75,62.48,85.5,0,1,0,0,0,0,0,1,0,0,1
22,2,2,2,2.0,2.75,2.0,1.5,52.9,54.75,76.79,34.54,79.78,62.48,92.0,0,0,0,0,0,0,1,1,0,0,1
23,1,2,1,2.5,1.75,3.0,2.0,89.71,82.26,44.12,34.54,72.9,80.63,90.5,0,1,0,0,0,0,0,1,0,0,1
22,4,2,2,1.5,2.0,2.0,2.0,76.83,77.12,72.66,70.61,72.9,76.98,89.5,0,0,0,1,0,0,0,0,1,0,1
21,2,2,1,1.25,2.25,2.25,2.0,66.01,54.75,80.93,75.28,72.9,73.34,93.5,0,0,0,0,0,0,1,1,0,0,1
22,1,2,1,1.75,2.0,2.25,2.0,58.56,66.85,59.25,79.96,72.9,69.19,91.0,0,0,0,1,0,0,0,1,0,0,1
21,2,2,1,1.25,2.25,2.0,1.75,72.78,66.85,51.68,70.61,53.29,70.3,91.165,0,0,0,1,0,0,0,1,0,0,1
22,1,2,1,2.0,2.5,2.0,1.25,49.95,61.11,91.97,53.82,72.9,68.07,86.5,0,1,0,0,0,0,0,0,1,0,1
22,0,0,1,1.5,1.75,2.0,1.5,74.8,66.85,72.66,89.31,72.9,79.72,89.5,0,0,0,0,0,0,1,0,1,0,1
21,2,0,1,1.25,1.5,1.75,1.25,82.02,82.26,80.93,70.61,26.06,79.72,96.19,0,1,0,0,0,0,0,1,0,0,1
22,2,0,1,1.75,1.25,1.75,1.25,91.83,96.76,85.06,94.54,97.87,95.98,95.0,0,0,0,0,0,0,1,0,1,0,1
21,2,2,2,1.25,1.75,2.0,1.25,83.47,82.26,96.28,70.61,91.68,90.13,94.5,0,0,0,1,0,0,0,1,0,0,1
21,1,2,1,2.25,1.75,3.0,1.5,99.85,92.88,99.87,98.63,98.81,99.86,88.8,0,0,0,1,0,0,0,0,1,0,1
22,0,2,2,1.75,1.75,1.5,2.0,98.65,87.4,96.28,84.63,91.68,97.46,83.025,0,0,0,1,0,0,0,0,1,0,1
21,3,2,1,2.0,2.0,2.75,1.5,78.85,71.99,89.19,84.63,72.9,84.19,88.5,1,0,0,0,0,0,0,1,0,0,1
22,1,2,2,2.0,2.25,2.5,2.0,52.9,92.88,93.41,10.45,79.78,72.43,91.5,0,0,0,0,0,0,1,1,0,0,1
21,0,0,1,1.25,2.5,1.5,1.5,88.66,94.82,36.55,92.22,87.72,89.65,88.75,0,0,0,1,0,0,0,0,1,0,1
21,2,0,1,2.5,2.5,2.25,2.0,55.84,66.85,72.66,34.54,53.29,61.37,92.5,0,0,0,0,0,0,1,1,0,0,1
22,0,0,2,1.5,2.0,2.0,2.75,68.5,66.85,66.81,93.38,72.9,77.9,91.58,0,0,0,1,0,0,0,0,1,0,1
21,1,2,1,1.5,2.0,3.0,1.75,93.41,90.94,91.97,70.61,43.49,90.6,88.0,0,1,0,0,0,0,0,0,1,0,1
21,4,2,2,1.25,2.5,1.75,1.75,72.78,35.7,59.25,93.3,79.78,75.16,90.5,0,0,0,1,0,0,0,0,1,0,1
21,2,2,1,1.5,1.5,1.75,1.25,82.02,66.85,80.93,79.96,87.72,84.88,94.5,0,0,0,1,0,0,0,1,0,0,1
22,1,0,1,1.5,2.25,2.25,2.0,55.84,87.4,89.19,63.45,79.78,76.07,90.0,0,0,0,0,0,0,1,1,0,0,1
23,0,2,1,2.25,2.75,2.0,1.75,89.71,77.12,66.81,44.18,53.29,81.43,92.0,0,0,0,0,0,0,1,1,0,0,1
22,1,0,1,2.0,1.5,2.0,1.75,84.91,77.12,80.93,34.54,63.1,80.63,90.1,1,0,0,0,0,0,0,0,1,0,1
23,1,0,1,1.25,2.75,1.75,2.0,47.0,30.03,76.79,70.61,79.78,60.09,92.0,0,1,0,0,0,0,0,1,0,0,1
22,0,2,2,1.5,2.0,2.25,1.5,91.83,77.12,66.81,44.18,87.72,86.26,83.655,0,0,0,1,0,0,0,0,1,0,1
21,1,0,1,1.5,2.5,1.75,2.0,70.75,92.88,80.93,53.82,63.1,78.81,91.5,0,1,0,0,0,0,0,0,1,0,1
